r_um,h_waves_633nm,thickness_um
4.884884884884884286e+02,1.328123936344132616e+00,1.681404903411672036e+00
4.924924924924924881e+02,1.299021020398825277e+00,1.644560611824912977e+00
4.964964964964964906e+02,1.244196056598689371e+00,1.575152207653940595e+00
5.005005005005004932e+02,1.198435820362099724e+00,1.517219748578418459e+00
5.045045045045044958e+02,1.216265575154190648e+00,1.539792218145205283e+00
5.085085085085084984e+02,1.313914306904934159e+00,1.663415512541646546e+00
5.125125125125124441e+02,1.453327511658470739e+00,1.839912629759623997e+00
5.165165165165165035e+02,1.574972679907634898e+00,1.993915412763065831e+00
5.205205205205204493e+02,1.636913585140408189e+00,2.072332598787756552e+00
5.245245245245245087e+02,1.623807028758667226e+00,2.055739698408472815e+00
5.285285285285284544e+02,1.534593612499168813e+00,1.942795513423947629e+00
5.325325325325324002e+02,1.380941560340042784e+00,1.748272015390494039e+00
5.365365365365365733e+02,1.201593936374835803e+00,1.521217923450542076e+00
5.405405405405405190e+02,1.060196179820423357e+00,1.342208363652656056e+00
5.445445445445445785e+02,1.003425938220348090e+00,1.270337237786960838e+00
5.485485485485485242e+02,1.011093087675946522e+00,1.280043848997748368e+00
5.525525525525525836e+02,1.002476797874209957e+00,1.269135626108749859e+00
5.565565565565565294e+02,9.178892843079486941e-01,1.162047833933863128e+00
5.605605605605604751e+02,8.051642379578689557e-01,1.019337925254662158e+00
5.645645645645645345e+02,8.085669837502854618e-01,1.023645801427861324e+00
5.685685685685684803e+02,1.039633986705316371e+00,1.316176627168930580e+00
5.725725725725725397e+02,1.438906817574262087e+00,1.821656031049015745e+00
5.765765765765764854e+02,1.776467691635348789e+00,2.249008097610351697e+00
5.805805805805805448e+02,1.824101979242750637e+00,2.309313105721322312e+00
5.845845845845846043e+02,1.559129061571769448e+00,1.973857391949860096e+00
5.885885885885885500e+02,1.204887219198085724e+00,1.525387219504776626e+00
5.925925925925926094e+02,1.050447993159933091e+00,1.329867159340475391e+00
5.965965965965965552e+02,1.203401170282317079e+00,1.523505881577413401e+00
6.006006006006006146e+02,1.505767611225897307e+00,1.906301795811986111e+00
6.046046046046045603e+02,1.695764688906927997e+00,2.146838096156170828e+00
6.086086086086085061e+02,1.661071213668154911e+00,2.102916156503884082e+00
6.126126126126125655e+02,1.536308783284684676e+00,1.944966919638410729e+00
6.166166166166165112e+02,1.548442191995046180e+00,1.960327815065728396e+00
6.206206206206205707e+02,1.765312161401001445e+00,2.234885196333667778e+00
6.246246246246245164e+02,2.003839647568566917e+00,2.536860993821805632e+00
6.286286286286285758e+02,1.999050922308960754e+00,2.530798467643144534e+00
6.326326326326326353e+02,1.673359377406219428e+00,2.118472971796273807e+00
6.366366366366365810e+02,1.238759703859468209e+00,1.568269785086086721e+00
6.406406406406406404e+02,1.022798944083129991e+00,1.294863463209242616e+00
6.446446446446445862e+02,1.178169026047862111e+00,1.491561986976593479e+00
6.486486486486486456e+02,1.549855868761021327e+00,1.962117529851453046e+00
6.526526526526525913e+02,1.821479010771015261e+00,2.305992427636105457e+00
6.566566566566566507e+02,1.796307566445407122e+00,2.274125379119885437e+00
6.606606606606605965e+02,1.549448839888405427e+00,1.961602231298721133e+00
6.646646646646645422e+02,1.324516536574678272e+00,1.676837935303542748e+00
6.686686686686686016e+02,1.295184950664172163e+00,1.639704147540842039e+00
6.726726726726725474e+02,1.424659578166920015e+00,1.803619025959320776e+00
6.766766766766767205e+02,1.537064201941901631e+00,1.945923279658447580e+00
6.806806806806806662e+02,1.501051123927972464e+00,1.900330722892813240e+00
